TITLE,AUTHOR,YEAR
Advanced Introduction to Artificial Intelligence in Healthcare,"Thomas H. Davenport, John Glaser, Elizabeth Gardner",2023
Agentic AI Agents for Business,NA,2023
Agentic AI Architecture – Designing the Future of AI Agents,Anand Vemula,2023
Agentic AI Cookbook,Robert J. K. Rowland ,2023
Agentic AI Engineering: The Definitive Field Guide to Building Production-Grade Cognitive Systems (Generative AI Revolution Series),Yi Zhou,2024
Agentic AI for Retail,NA,2023
Agentic AI with MCP,Nathan Steele ,2024
Agentic AI: A Guide by 27 Experts,27 Experts,2023
Agentic AI: Theories and Practices,Ken Huang,2023
"Agentic Artificial Intelligence: Harnessing AI Agents to Reinvent Business, Work and Life",Pascal Bornet,2024
"AI 2025: The Definitive Guide to Artificial Intelligence, APIs, and Python Programming for the Future","Hayden Van Der Post, et al.",2020
AI Agents for Business Leaders,Ajit K Jha ,2024
AI Agents in Action,Micheal Lanham,2024
AI Engineering: Building Applications with Foundation Models,Chip Huyen,2024
AI for Robotics: Toward Embodied and General Intelligence in the Physical World,Alishba Imran,2024
All Hands on Tech: The AI-Powered Citizen Revolution,Thomas H. Davenport and Ian Barkin,2023
All-in On AI: How Smart Companies Win Big with Artificial Intelligence,Thomas H. Davenport and Nitin Mittal,2023
Artificial Intelligence: A Modern Approach,Stuart Russell and Peter Norvig,1995
Build a Large Language Model (From Scratch),Sebastian Raschka,2024
"Building Agentic AI Systems: Create intelligent, autonomous AI agents that can reason, plan, and adapt",Anjanava Biswas,2024
Building Agentic AI Workflow: A Developer's Guide to OpenAI's Agents SDK,Harvey Bower,2023
"Building AI Agents with LLMs, RAG, and Knowledge Graphs: A practical guide to autonomous and modern AI agents",Salvatore Raieli,2023
Building AI Applications with ChatGPT APIs,Martin Yanev,2023
Building Applications with AI Agents: Designing and Implementing Multiagent Systems,Michael Albada,2024
Building Generative AI-Powered Apps: A Hands-on Guide for Developers,Aarushi Kansal,2024
Building Intelligent Agents: A Practical Guide to AI Automation,Jason Overand,2023
Designing Agentic AI Frameworks,NA,2024
"Foundations of Agentic AI for Retail: Concepts, Technologies, and Architectures for Autonomous Retail Systems",Dr. Fatih Nayebi,2024
Generative AI for Beginners,Caleb Morgan Whitaker,2023
Generative AI on AWS: Building Context-Aware Multimodal Reasoning Applications,Chris Fregly,2024
Hands-on AI Agent Development: A Practical Guide to Designing and Building High-Performance and Intelligent Agents for Real-World Applications,Corby Allen,2023
Hands-On APIs for AI and Data Science: Python Development with FastAPI,Ryan Day,2024
How HR Leaders Are Preparing for the AI-Enabled Workforce,Tom Davenport,2024
"L’IA n’est plus un outil, c’est un collègue"": Moderna fusionne sa DRH et sa DSI",Julien Dupont-Calbo,2024
Lethal Trifecta for AI agents,Simon Willison,2025
LLM Powered Autonomous Agents,Lilian Weng,2023
"Mastering Agentic AI: A Practical Guide to Building Self-Directed AI Systems that Think, Learn, and Act Independently",Ted Winston,2023
"Mastering AI Agents: A Practical Handbook for Understanding, Building, and Leveraging LLM-Powered Autonomous Systems to Automate Tasks, Solve Complex Problems, and Lead the AI Revolution",Marcus Lighthaven,2025
Multi-Agent Oriented Programming: Programming Multi-Agent Systems Using JaCaMo,"Olivier Boissier, Rafael H. Bordini, Jomi Fred Hübner, et al.",2023
Multi-Agent Systems with AutoGen,Victor Dibia,2023
Multi-Agent Systems: An Introduction to Distributed Artificial Intelligence,Jacques Ferber,1999
"OpenAI API Cookbook: Build intelligent applications including chatbots, virtual assistants, and content generators",Henry Habib,2023
Principles of Building AI Agents,Sam Bhagwat,2024
Prompt Engineering for Generative AI,"James Phoenix, Mike Taylor",2023
Prompt Engineering for LLMs: The Art and Science of Building Large Language Model-Based Applications,John Berryman,2023
Rewired to outcompete,"Eric Lamarre, Kate Smaje, and Rodney Zemmel",2023
Small Language Models are the Future of Agentic AI,"Peter Belcak, Greg Heinrich, Shizhe Diao, Yonggan Fu, Xin Dong, Saurav Muralidharan, Yingyan Celine Lin, Pavlo Molchanov",2025
Superagency in the workplace: Empowering people to unlock AI’s full potential,"Hannah Mayer, Lareina Yee, Michael Chui, and Roger Roberts",2023
The Age of Agentic AI: A Practical & Exciting Exploration of AI Agents,Saman Zakpur,2025
"The Agentic AI Bible: The Complete and Up-to-Date Guide to Design, Build, and Scale Goal-Driven, LLM-Powered Agents that Think, Execute and Evolve",Thomas R. Caldwell,2025
The AI Advantage How to Put the Artificial Intelligence Revolution to Work,Thomas H. Davenport,2023
"The AI Engineering Bible: The Complete and Up-to-Date Guide to Build, Develop and Scale Production Ready AI Systems",Thomas R. Caldwell,2023
The economic potential of generative AI: The next productivity frontier,McKinsey,2023
The LLM Engineer’s Handbook,Paul Iusztin,2024
The Long Fix: Solving America’s Health Care Crisis with Strategies That Work for Everyone,Vivian S. Lee,2020
Vibe Coding 2025,Gene Kim and Steve Yegge,2025
Working with AI Real Stories of Human-Machine Collaboration,Thomas H. Davenport & Steven M. Miller,2022
